source,page_url,author,license,license_url,filename,original_title,date
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Granada-La_Alhambra-02-Palacio_de_Comares-Azulejos-20190419.jpg,Ashaio,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Granada-La_Alhambra-02-Palacio_de_Comares-Azulejos-20190419.jpg,File:Granada-La Alhambra-02-Palacio de Comares-Azulejos-20190419.jpg,2019-04-19 13:08:45
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Granada-La_Alhambra-06-Palacio_de_Comares-Azulejos-20190419.jpg,Ashaio,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Granada-La_Alhambra-06-Palacio_de_Comares-Azulejos-20190419.jpg,File:Granada-La Alhambra-06-Palacio de Comares-Azulejos-20190419.jpg,2019-04-19 13:26:49
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Alicatado,_Colecci%C3%B3n_Carranza_(Sevilla).jpg",Jl FilpoC,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Alicatado__Coleccion_Carranza__Sevilla_.jpg,"File:Alicatado, Colección Carranza (Sevilla).jpg",Taken on 14 March 2015
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Lisbon,_Portugal,_2019_IMG_20190406_123223_(51275090488).jpg","Taras Rynza from Moscow, Russia",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Lisbon__Portugal__2019_IMG_20190406_123223__51275090488_.jpg,"File:Lisbon, Portugal, 2019 IMG 20190406 123223 (51275090488).jpg",2019-04-06 12:32
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Lisbon,_Portugal,_2019_IMG_20190406_123311_(51275945040).jpg","Taras Rynza from Moscow, Russia",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Lisbon__Portugal__2019_IMG_20190406_123311__51275945040_.jpg,"File:Lisbon, Portugal, 2019 IMG 20190406 123311 (51275945040).jpg",2019-04-06 12:33
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Lisbon,_Portugal,_2019_IMG_20190406_123640_(51275945950).jpg","Taras Rynza from Moscow, Russia",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Lisbon__Portugal__2019_IMG_20190406_123640__51275945950_.jpg,"File:Lisbon, Portugal, 2019 IMG 20190406 123640 (51275945950).jpg",2019-04-06 12:36
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Lisbon,_Portugal,_2019_IMG_20190406_123737_(51274174887).jpg","Taras Rynza from Moscow, Russia",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Lisbon__Portugal__2019_IMG_20190406_123737__51274174887_.jpg,"File:Lisbon, Portugal, 2019 IMG 20190406 123737 (51274174887).jpg",2019-04-06 12:37
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Lisbon,_Portugal,_2019_IMG_20190406_123833_(51274923131).jpg","Taras Rynza from Moscow, Russia",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Lisbon__Portugal__2019_IMG_20190406_123833__51274923131_.jpg,"File:Lisbon, Portugal, 2019 IMG 20190406 123833 (51274923131).jpg",2019-04-06 12:38
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Azulejos_de_la_Capilla_de_San_Bartolom%C3%A9,_C%C3%B3rdoba.jpg",Jl FilpoC,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Azulejos_de_la_Capilla_de_San_Bartolome__Cordoba.jpg,"File:Azulejos de la Capilla de San Bartolomé, Córdoba.jpg",2021-05-15
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MNAz_48.jpg,DiogoBaptista,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,MNAz_48.jpg,File:MNAz 48.jpg,2025-06-17 16:28:03
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MNAz_47.jpg,DiogoBaptista,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,MNAz_47.jpg,File:MNAz 47.jpg,2025-06-17 16:27:46
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MNAz_52.jpg,DiogoBaptista,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,MNAz_52.jpg,File:MNAz 52.jpg,2025-06-17 16:30:34
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MNAz_51.jpg,DiogoBaptista,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,MNAz_51.jpg,File:MNAz 51.jpg,2025-06-17 16:30:28
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MNAz_53.jpg,DiogoBaptista,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,MNAz_53.jpg,File:MNAz 53.jpg,2025-06-17 16:31:50
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MNAz_54.jpg,DiogoBaptista,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,MNAz_54.jpg,File:MNAz 54.jpg,2025-06-17 16:32:01
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MNAz_55.jpg,DiogoBaptista,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,MNAz_55.jpg,File:MNAz 55.jpg,2025-06-17 16:32:07
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MNAz_56.jpg,DiogoBaptista,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,MNAz_56.jpg,File:MNAz 56.jpg,2025-06-17 16:37:41
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Emblema_de_gremio_del_siglo_XV._Colecci%C3%B3n_Cortina._Museo_de_Historia_de_Valencia_02.jpg,Dorieo,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Emblema_de_gremio_del_siglo_XV._Coleccion_Cortina._Museo_de_Historia_de_Valencia_02.jpg,File:Emblema de gremio del siglo XV. Colección Cortina. Museo de Historia de Valencia 02.jpg,2016-09-08 18:09:30
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Emblema_de_gremio_del_siglo_XV._Colecci%C3%B3n_Cortina._Museo_de_Historia_de_Valencia_01.jpg,Dorieo,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Emblema_de_gremio_del_siglo_XV._Coleccion_Cortina._Museo_de_Historia_de_Valencia_01.jpg,File:Emblema de gremio del siglo XV. Colección Cortina. Museo de Historia de Valencia 01.jpg,2016-09-08 18:09:19
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Emblema_de_gremio_del_siglo_XV._Colecci%C3%B3n_Cortina._Museo_de_Historia_de_Valencia_04.jpg,Dorieo,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Emblema_de_gremio_del_siglo_XV._Coleccion_Cortina._Museo_de_Historia_de_Valencia_04.jpg,File:Emblema de gremio del siglo XV. Colección Cortina. Museo de Historia de Valencia 04.jpg,2016-09-08 18:09:50
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Emblema_de_gremio_del_siglo_XV._Colecci%C3%B3n_Cortina._Museo_de_Historia_de_Valencia_05.jpg,Dorieo,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Emblema_de_gremio_del_siglo_XV._Coleccion_Cortina._Museo_de_Historia_de_Valencia_05.jpg,File:Emblema de gremio del siglo XV. Colección Cortina. Museo de Historia de Valencia 05.jpg,2016-09-08 18:10:01
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Emblema_de_gremio_del_siglo_XV._Colecci%C3%B3n_Cortina._Museo_de_Historia_de_Valencia_03.jpg,Dorieo,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Emblema_de_gremio_del_siglo_XV._Coleccion_Cortina._Museo_de_Historia_de_Valencia_03.jpg,File:Emblema de gremio del siglo XV. Colección Cortina. Museo de Historia de Valencia 03.jpg,2016-09-08 18:09:41
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Painel_de_azulejos_de_padr%C3%A3o_flor%C3%A3o_maneirista_com_decora%C3%A7%C3%A3o_a_azul,_amarelo_e_vinoso,_dito_Pizano,_oficina_de_Lisboa,_1580_(c.),_Portugal_-_Image_140384.jpg",Cabral Moncada Leilões,Public domain,,aneirista_com_decoracao_a_azul__amarelo_e_vinoso__dito_Pizano__oficina_de_Lisboa__1580__c.__Portugal_-_Image_140384.jpg,"File:Painel de azulejos de padrão florão maneirista com decoração a azul, amarelo e vinoso, dito Pizano, oficina de Lisboa, 1580 (c.), Portugal - Image 140384.jpg","circa 1580date QS:P,+1580-00-00T00:00:00Z/9,P1480,Q5727902"
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Azulejo_December_2012-5.jpg,Alvesgaspar,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Azulejo_December_2012-5.jpg,File:Azulejo December 2012-5.jpg,2012-12-01 16:19:37
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Azulejo_December_2012-4.jpg,Alvesgaspar,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Azulejo_December_2012-4.jpg,File:Azulejo December 2012-4.jpg,2012-12-01 16:19:37
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Azulejo_December_2012-10.jpg,Alvesgaspar,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Azulejo_December_2012-10.jpg,File:Azulejo December 2012-10.jpg,2012-12-01 15:37:28
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Igreja_da_Miseric%C3%B3rdia_da_Pederneira,_Nazar%C3%A9_(6316068868).jpg",amaianos from Galicia,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Igreja_da_Misericordia_da_Pederneira__Nazare__6316068868_.jpg,"File:Igreja da Misericórdia da Pederneira, Nazaré (6316068868).jpg",2005-01-01 12:06
